date,state,candidate,vote_perc,is_nominee,won_state,event_type
2008-02-05,Utah,Mike Gravel,0,FALSE,FALSE,primary
2008-02-09,Louisiana,Mike Gravel,0,FALSE,FALSE,primary
2008-02-09,Nebraska,Mike Gravel,0,FALSE,FALSE,caucus
2008-02-09,U.S. Virgin Islands territorial convention,Mike Gravel,0,FALSE,FALSE,primary
2008-02-09,Washington,Mike Gravel,0,FALSE,FALSE,caucus
2008-02-10,Maine municipal,Mike Gravel,0,FALSE,FALSE,caucus
NA,Democrats Abroad,Mike Gravel,0,FALSE,FALSE,primary
2008-02-12,District of Columbia,Mike Gravel,0,FALSE,FALSE,primary
2008-02-12,Maryland,Mike Gravel,0,FALSE,FALSE,primary
2008-02-12,Virginia,Mike Gravel,0,FALSE,FALSE,primary
2008-02-19,Hawaii,Mike Gravel,0,FALSE,FALSE,caucus
2008-02-19,Wisconsin,Mike Gravel,0,FALSE,FALSE,primary
2008-03-04,Ohio,Mike Gravel,0,FALSE,FALSE,primary
2008-03-04,Rhode Island,Mike Gravel,0,FALSE,FALSE,primary
2008-03-04,Texas,Mike Gravel,0,FALSE,FALSE,primary
2008-03-04,Texas conventions,Mike Gravel,0,FALSE,FALSE,primary
2008-03-04,Vermont,Mike Gravel,0,FALSE,FALSE,primary
2008-03-08,Wyoming county,Mike Gravel,0,FALSE,FALSE,caucus
2008-03-11,Mississippi,Mike Gravel,5,FALSE,FALSE,primary
NA,North Dakota legislative district conventions,Mike Gravel,0,FALSE,TRUE,primary
2008-03-15,Iowa county conventions,Mike Gravel,0,FALSE,FALSE,primary
NA,Colorado county assemblies/conventions,Mike Gravel,0,FALSE,FALSE,primary
2008-03-29,Texas county and senatorial district conventions,Mike Gravel,0,FALSE,FALSE,primary
NA,North Dakota state convention,Mike Gravel,0,FALSE,FALSE,primary
NA,Nevada county conventions,Mike Gravel,0,FALSE,FALSE,primary
2008-04-22,Pennsylvania,Mike Gravel,0,FALSE,FALSE,primary
NA,Washington legislative district,Mike Gravel,0,FALSE,TRUE,caucus
2008-04-26,Iowa district conventions,Mike Gravel,0,FALSE,FALSE,primary
2008-05-03,Guam territorial convention,Mike Gravel,0,FALSE,FALSE,primary
