state,candidate,date,vote_perc,delegates,won_state,is_nominee,event_type
Puerto Rico,Tom Harkin,1992-04-05,0.05,51,FALSE,FALSE,primary
Kansas,Tom Harkin,1992-04-07,0.59,36,FALSE,FALSE,primary
Minnesota,Tom Harkin,1992-04-07,2,78,FALSE,FALSE,primary
New York,Tom Harkin,1992-04-07,1.15,244,TRUE,FALSE,primary
Wisconsin,Tom Harkin,1992-04-07,0.7,82,FALSE,FALSE,primary
Virginia,Tom Harkin,1992-04-11,NA,78,NA,FALSE,caucus
Pennsylvania,Tom Harkin,1992-04-28,1.66,169,FALSE,FALSE,primary
Delaware,Tom Harkin,1992-05-05,NA,14,NA,FALSE,caucus
Indiana,Tom Harkin,1992-05-05,NA,77,NA,FALSE,primary
North Carolina,Tom Harkin,1992-05-05,0.85,84,FALSE,FALSE,primary
"Washington, D.C.",Tom Harkin,1992-05-05,NA,17,NA,FALSE,primary
Nebraska,Tom Harkin,1992-05-12,2.82,25,FALSE,FALSE,primary
West Virginia,Tom Harkin,1992-05-12,0.9,31,FALSE,FALSE,primary
Oregon,Tom Harkin,1992-05-19,NA,47,NA,FALSE,primary
Washington,Tom Harkin,1992-05-19,1.26,71,FALSE,FALSE,primary
Idaho,Tom Harkin,1992-05-26,NA,18,NA,FALSE,primary
Kentucky,Tom Harkin,1992-05-26,1.93,52,FALSE,FALSE,primary
Arkansas,Tom Harkin,1992-05-27,NA,36,NA,FALSE,primary
Alabama,Tom Harkin,1992-06-02,NA,55,NA,FALSE,primary
California,Tom Harkin,1992-06-02,NA,348,NA,FALSE,primary
Montana,Tom Harkin,1992-06-02,NA,16,NA,FALSE,primary
New Jersey,Tom Harkin,1992-06-02,NA,105,NA,FALSE,primary
New Mexico,Tom Harkin,1992-06-02,1.78,25,FALSE,FALSE,primary
Ohio,Tom Harkin,1992-06-02,2.44,151,FALSE,FALSE,primary
North Dakota,Tom Harkin,1992-06-09,NA,14,NA,FALSE,primary
Iowa,Larry Agran,1992-02-10,NA,49,NA,FALSE,caucus
New Hampshire,Larry Agran,1992-02-18,0.2,18,FALSE,FALSE,primary
Maine,Larry Agran,1992-02-23,NA,23,NA,FALSE,caucus
South Dakota,Larry Agran,1992-02-25,1.11,15,FALSE,FALSE,primary
Colorado,Larry Agran,1992-03-03,0.28,47,FALSE,FALSE,primary
Georgia,Larry Agran,1992-03-03,NA,76,NA,FALSE,primary
Idaho,Larry Agran,1992-03-03,NA,18,NA,FALSE,caucus
Maryland,Larry Agran,1992-03-03,NA,67,NA,FALSE,primary
Minnesota,Larry Agran,1992-03-03,NA,78,NA,FALSE,caucus
Utah,Larry Agran,1992-03-03,0.18,23,FALSE,FALSE,caucus
Washington,Larry Agran,1992-03-03,0.79,71,FALSE,FALSE,caucus
Arizona,Larry Agran,1992-03-07,NA,41,NA,FALSE,caucus
South Carolina,Larry Agran,1992-03-07,NA,43,NA,FALSE,primary
Wyoming,Larry Agran,1992-03-07,NA,13,NA,FALSE,caucus
Nevada,Larry Agran,1992-03-08,NA,17,NA,FALSE,caucus
Florida,Larry Agran,1992-03-10,NA,148,NA,FALSE,primary
Hawaii,Larry Agran,1992-03-10,NA,14,NA,FALSE,caucus
Louisiana,Larry Agran,1992-03-10,0.91,60,FALSE,FALSE,primary
Massachusetts,Larry Agran,1992-03-10,0.28,94,FALSE,FALSE,primary
Mississippi,Larry Agran,1992-03-10,NA,39,NA,FALSE,primary
Missouri,Larry Agran,1992-03-10,NA,77,NA,FALSE,primary
Oklahoma,Larry Agran,1992-03-10,NA,45,NA,FALSE,primary
Texas,Larry Agran,1992-03-10,NA,0,NA,FALSE,primary
Illinois,Larry Agran,1992-03-17,0.22,164,FALSE,FALSE,primary
Michigan,Larry Agran,1992-03-17,NA,131,NA,FALSE,primary
Democrats Abroad[8],Larry Agran,1992-03-19,NA,0,NA,FALSE,caucus
North Dakota,Larry Agran,1992-03-19,NA,14,NA,FALSE,caucus
Connecticut,Larry Agran,1992-03-24,1.55,53,FALSE,FALSE,primary
Vermont,Larry Agran,1992-03-31,NA,14,NA,FALSE,caucus
Alaska,Larry Agran,1992-04-02,NA,13,NA,FALSE,caucus
Puerto Rico,Larry Agran,1992-04-05,0.03,51,FALSE,FALSE,primary
Kansas,Larry Agran,1992-04-07,0.09,36,FALSE,FALSE,primary
Minnesota,Larry Agran,1992-04-07,0.51,78,FALSE,FALSE,primary
New York,Larry Agran,1992-04-07,1.07,244,FALSE,FALSE,primary
Wisconsin,Larry Agran,1992-04-07,0.41,82,FALSE,FALSE,primary
Virginia,Larry Agran,1992-04-11,NA,78,NA,FALSE,caucus
Pennsylvania,Larry Agran,1992-04-28,NA,169,NA,FALSE,primary
Delaware,Larry Agran,1992-05-05,NA,14,NA,FALSE,caucus
Indiana,Larry Agran,1992-05-05,NA,77,NA,FALSE,primary
North Carolina,Larry Agran,1992-05-05,NA,84,NA,FALSE,primary
"Washington, D.C.",Larry Agran,1992-05-05,NA,17,NA,FALSE,primary
Nebraska,Larry Agran,1992-05-12,0.19,25,FALSE,FALSE,primary
West Virginia,Larry Agran,1992-05-12,NA,31,NA,FALSE,primary
Oregon,Larry Agran,1992-05-19,0.47,47,FALSE,FALSE,primary
Washington,Larry Agran,1992-05-19,NA,71,NA,FALSE,primary
