date,state,candidate,vote_perc,won_state,is_nominee,event_type
1980-06-03,New Mexico,Cliff Finch,2.82,FALSE,FALSE,primary
1980-06-03,Ohio,Cliff Finch,0,FALSE,FALSE,primary
1980-06-03,Rhode Island,Cliff Finch,0,FALSE,FALSE,primary
1980-06-03,South Dakota,Cliff Finch,0,FALSE,FALSE,primary
1980-06-03,West Virginia,Cliff Finch,0,FALSE,FALSE,primary
1980-01-21,Iowa,Richard Kay,0,FALSE,FALSE,caucus
1980-02-10,Maine,Richard Kay,0,FALSE,FALSE,caucus
1980-02-26,New Hampshire,Richard Kay,0.51,FALSE,FALSE,primary
1980-03-04,Massachusetts,Richard Kay,0,FALSE,FALSE,primary
1980-03-04,Vermont *,Richard Kay,0,FALSE,FALSE,primary
1980-03-11,Alabama,Richard Kay,0,FALSE,FALSE,primary
1980-03-11,Florida,Richard Kay,1.75,FALSE,FALSE,primary
1980-03-11,Georgia,Richard Kay,0.22,FALSE,FALSE,primary
1980-03-16,Puerto Rico,Richard Kay,0,FALSE,FALSE,primary
1980-03-18,Illinois,Richard Kay,0,FALSE,FALSE,primary
1980-03-25,Connecticut,Richard Kay,0,FALSE,FALSE,primary
1980-03-25,New York,Richard Kay,0,TRUE,FALSE,primary
1980-04-01,Kansas,Richard Kay,0,FALSE,FALSE,primary
1980-04-01,Wisconsin,Richard Kay,0,FALSE,FALSE,primary
1980-04-05,Louisiana,Richard Kay,0.94,FALSE,FALSE,primary
1980-04-22,Pennsylvania,Richard Kay,0,FALSE,FALSE,primary
1980-04-22,Vermont,Richard Kay,0,FALSE,FALSE,caucus
1980-04-26,Michigan,Richard Kay,0,FALSE,FALSE,caucus
1980-05-03,Texas,Richard Kay,0,FALSE,FALSE,primary
1980-05-06,Washington D.C.,Richard Kay,0,FALSE,FALSE,primary
1980-05-06,Indiana,Richard Kay,0,FALSE,FALSE,primary
1980-05-06,North Carolina,Richard Kay,0,FALSE,FALSE,primary
1980-05-06,Tennessee,Richard Kay,0,FALSE,FALSE,primary
1980-05-13,Nebraska,Richard Kay,0,FALSE,FALSE,primary
1980-05-13,Maryland,Richard Kay,0,FALSE,FALSE,primary
1980-05-20,Oregon,Richard Kay,0,FALSE,FALSE,primary
1980-05-20,Michigan **,Richard Kay,0,FALSE,FALSE,caucus
1980-05-27,Arkansas,Richard Kay,0,FALSE,FALSE,primary
1980-05-27,Idaho,Richard Kay,0,FALSE,FALSE,primary
1980-05-27,Kentucky,Richard Kay,1.09,FALSE,FALSE,primary
1980-05-27,Nevada,Richard Kay,0,FALSE,FALSE,primary
1980-06-03,California,Richard Kay,0,FALSE,FALSE,primary
1980-06-03,Montana,Richard Kay,0,FALSE,FALSE,primary
1980-06-03,New Jersey,Richard Kay,0,FALSE,FALSE,primary
1980-06-03,New Mexico,Richard Kay,0,FALSE,FALSE,primary
1980-06-03,Ohio,Richard Kay,1.81,FALSE,FALSE,primary
1980-06-03,Rhode Island,Richard Kay,0,FALSE,FALSE,primary
1980-06-03,South Dakota,Richard Kay,0,FALSE,FALSE,primary
1980-06-03,West Virginia,Richard Kay,0,FALSE,FALSE,primary
1980-01-21,Iowa,Unpledged,9.61,FALSE,FALSE,caucus
1980-02-10,Maine,Unpledged,2.4,FALSE,FALSE,caucus
1980-02-26,New Hampshire,Unpledged,0,FALSE,FALSE,primary
1980-03-04,Massachusetts,Unpledged,2.17,FALSE,FALSE,primary
1980-03-04,Vermont *,Unpledged,0,FALSE,FALSE,primary
1980-03-11,Alabama,Unpledged,0.7,FALSE,FALSE,primary
1980-03-11,Florida,Unpledged,9.5,FALSE,FALSE,primary
1980-03-11,Georgia,Unpledged,0.96,FALSE,FALSE,primary
1980-03-16,Puerto Rico,Unpledged,0,FALSE,FALSE,primary
1980-03-18,Illinois,Unpledged,0,FALSE,FALSE,primary
1980-03-25,Connecticut,Unpledged,6.37,FALSE,FALSE,primary
1980-03-25,New York,Unpledged,0,TRUE,FALSE,primary
1980-04-01,Kansas,Unpledged,0,FALSE,FALSE,primary
1980-04-01,Wisconsin,Unpledged,0.43,FALSE,FALSE,primary
1980-04-05,Louisiana,Unpledged,11.6,FALSE,FALSE,primary
1980-04-22,Pennsylvania,Unpledged,5.82,FALSE,FALSE,primary
1980-04-22,Vermont,Unpledged,23,FALSE,FALSE,caucus
1980-04-26,Michigan,Unpledged,5.24,FALSE,FALSE,caucus
1980-05-03,Texas,Unpledged,18.68,FALSE,FALSE,primary
1980-05-06,Washington D.C.,Unpledged,0,FALSE,FALSE,primary
1980-05-06,Indiana,Unpledged,0,FALSE,FALSE,primary
1980-05-06,North Carolina,Unpledged,9.28,FALSE,FALSE,primary
1980-05-06,Tennessee,Unpledged,3.91,FALSE,FALSE,primary
1980-05-13,Nebraska,Unpledged,10.42,FALSE,FALSE,primary
1980-05-13,Maryland,Unpledged,9.62,FALSE,FALSE,primary
1980-05-20,Oregon,Unpledged,0,FALSE,FALSE,primary
1980-05-20,Michigan **,Unpledged,46.4,TRUE,FALSE,caucus
1980-05-27,Arkansas,Unpledged,18.05,FALSE,FALSE,primary
1980-05-27,Idaho,Unpledged,11.76,FALSE,FALSE,primary
1980-05-27,Kentucky,Unpledged,8,FALSE,FALSE,primary
1980-05-27,Nevada,Unpledged,33.6,FALSE,FALSE,primary
1980-06-03,California,Unpledged,11.38,FALSE,FALSE,primary
1980-06-03,Montana,Unpledged,11.89,FALSE,FALSE,primary
1980-06-03,New Jersey,Unpledged,3.48,FALSE,FALSE,primary
1980-06-03,New Mexico,Unpledged,6.11,FALSE,FALSE,primary
1980-06-03,Ohio,Unpledged,0,FALSE,FALSE,primary
1980-06-03,Rhode Island,Unpledged,2.01,FALSE,FALSE,primary
1980-06-03,South Dakota,Unpledged,5.95,FALSE,FALSE,primary
1980-06-03,West Virginia,Unpledged,0,FALSE,FALSE,primary
1980-01-21,Iowa,Others,0,FALSE,FALSE,caucus
1980-02-10,Maine,Others,0,FALSE,FALSE,caucus
1980-02-26,New Hampshire,Others,3.45,FALSE,FALSE,primary
1980-03-04,Massachusetts,Others,0.59,FALSE,FALSE,primary
1980-03-04,Vermont *,Others,0.48,FALSE,FALSE,primary
1980-03-11,Alabama,Others,0.49,FALSE,FALSE,primary
1980-03-11,Florida,Others,0,FALSE,FALSE,primary
1980-03-11,Georgia,Others,0,FALSE,FALSE,primary
1980-03-16,Puerto Rico,Others,0.1,FALSE,FALSE,primary
1980-03-18,Illinois,Others,0.17,FALSE,FALSE,primary
1980-03-25,Connecticut,Others,0,FALSE,FALSE,primary
1980-03-25,New York,Others,0,TRUE,FALSE,primary
1980-04-01,Kansas,Others,0.81,FALSE,FALSE,primary
1980-04-01,Wisconsin,Others,0.08,FALSE,FALSE,primary
1980-04-05,Louisiana,Others,1.42,FALSE,FALSE,primary
1980-04-22,Pennsylvania,Others,0.78,FALSE,FALSE,primary
1980-04-22,Vermont,Others,0,FALSE,FALSE,caucus
1980-04-26,Michigan,Others,0,FALSE,FALSE,caucus
1980-05-03,Texas,Others,0,FALSE,FALSE,primary
1980-05-06,Washington D.C.,Others,0,FALSE,FALSE,primary
1980-05-06,Indiana,Others,0,FALSE,FALSE,primary
1980-05-06,North Carolina,Others,0,FALSE,FALSE,primary
1980-05-06,Tennessee,Others,0.01,FALSE,FALSE,primary
1980-05-13,Nebraska,Others,0.81,FALSE,FALSE,primary
1980-05-13,Maryland,Others,0,FALSE,FALSE,primary
1980-05-20,Oregon,Others,2.57,FALSE,FALSE,primary
1980-05-20,Michigan **,Others,12.81,FALSE,FALSE,caucus
1980-05-27,Arkansas,Others,0,FALSE,FALSE,primary
1980-05-27,Idaho,Others,0,FALSE,FALSE,primary
1980-05-27,Kentucky,Others,0,FALSE,FALSE,primary
1980-05-27,Nevada,Others,0,FALSE,FALSE,primary
1980-06-03,California,Others,0,FALSE,FALSE,primary
1980-06-03,Montana,Others,0,FALSE,FALSE,primary
1980-06-03,New Jersey,Others,2.48,FALSE,FALSE,primary
1980-06-03,New Mexico,Others,0,FALSE,FALSE,primary
1980-06-03,Ohio,Others,0,FALSE,FALSE,primary
1980-06-03,Rhode Island,Others,0,FALSE,FALSE,primary
1980-06-03,South Dakota,Others,0,FALSE,FALSE,primary
1980-06-03,West Virginia,Others,0,FALSE,FALSE,primary
